S.No.,R&D Spend,Administration,Marketing Spend
1,165349.2,136897.8,471784.1
2,162597.7,151377.59,443898.53
3,153441.51,101145.55,407934.54
4,144372.41,118671.85,383199.62
5,142107.34,91391.77,366168.42
6,131876.9,99814.71,362861.36
7,134615.46,147198.87,127716.82
8,130298.13,145530.06,323876.68
9,120542.52,148718.95,311613.29
10,123334.88,108679.17,304981.62
11,101913.08,110594.11,229160.95
12,100671.96,91790.61,249744.55
13,93863.75,127320.38,249839.44
14,91992.39,135495.07,252664.93
15,119943.24,156547.42,256512.92
16,114523.61,122616.84,261776.23
17,78013.11,121597.55,264346.06
18,94657.16,145077.58,282574.31
19,91749.16,114175.79,294919.57
20,86419.7,153514.11,0
21,76253.86,113867.3,298664.47
22,78389.47,153773.43,299737.29
23,73994.56,122782.75,303319.26
24,67532.53,105751.03,304768.73
25,77044.01,99281.34,140574.81
26,64664.71,139553.16,137962.62
27,75328.87,144135.98,134050.07
28,72107.6,127864.55,353183.81
29,66051.52,182645.56,118148.2
30,65605.48,153032.06,107138.38
31,61994.48,115641.28,91131.24
32,61136.38,152701.92,88218.23
33,63408.86,129219.61,46085.25
34,55493.95,103057.49,214634.81
35,46426.07,157693.92,210797.67
36,46014.02,85047.44,205517.64
37,28663.76,127056.21,201126.82
38,44069.95,51283.14,197029.42
39,20229.59,65947.93,185265.1
40,38558.51,82982.09,174999.3
41,28754.33,118546.05,172795.67
42,27892.92,84710.77,164470.71
43,23640.93,96189.63,148001.11
44,15505.73,127382.3,35534.17
45,22177.74,154806.14,28334.72
46,1000.23,124153.04,1903.93
47,1315.46,115816.21,297114.46
48,0,135426.92,0
49,542.05,51743.15,0
50,0,116983.8,45173.06
